movies id,title
872906,Jawan
554600,Uri: The Surgical Strike
781732,Animal
975533,The Archies
734253,Adipurush
19404,Dilwale Dulhania Le Jayenge
20453,3 Idiots
720557,Tiger 3
10757,Kabhi Khushi Kabhie Gham
26022,My Name Is Khan
1211409,Kya Masti Kya Dhoom
7508,Like Stars on Earth
864692,Pathaan
4251,Veer-Zaara
205022,Chennai Express
592508,Sooryavanshi
11518,Mohabbatein
11854,Kuch Kuch Hota Hai
534780,Andhadhun
950071,Jaane Jaan
12259,Sholay
14072,Rab Ne Bana Di Jodi
61202,Zindagi Na Milegi Dobara
41517,Ra.One
297222,PK
585268,War
79464,Rockstar
496331,Brahmāstra Part One: Shiva
960876,Dunki
360814,Dangal
783461,Looop Lapeta
8079,Om Shanti Om
138122,Student of the Year
37737,Kites
352173,Drishyam
85985,Ek Tha Tiger
4254,Kal Ho Naa Ho
14194,Dhoom 2
362045,Bajirao Mastani
444713,Commando 2 -  The Black Money Trail
14395,Kabhi Alvida Naa Kehna
19666,Lagaan: Once Upon a Time in India
472138,Thugs of Hindostan
41109,Don 2
185008,Yeh Jawaani Hai Deewani
1209321,Majbooriyan
191714,The Lunchbox
30066,Gol Maal
413543,Dear Zindagi
885331,Gadar 2
496316,Baaghi 2
15917,Devdas
25868,Aladin
370665,Dilwale
14134,Main Hoon Na
336203,Masaan
1178521,Fire of Love: RED
530154,Lust Stories
466550,Drive
4435,Aśoka
17478,Dhoom
135718,OMG: Oh My God!
277432,Happy New Year
20360,Namastey London
314389,Baby
538858,Tumbbad
1211406,Kaisi Ye Dor
381418,Sanam Teri Kasam
73582,Bodyguard
13986,Dil To Pagal Hai
1018228,Chor Nikal Ke Bhaga
432527,Padmaavat
560964,Junglee
441909,Tiger Zinda Hai
814215,Sam Bahadur
377985,Fan
280690,Kick
714338,Bulbbul
348892,Bajrangi Bhaijaan
15774,Swades
412090,Jolly LLB 2
767377,Dhamaka
15772,Guru
393445,Ae Dil Hai Mushkil
1198725,Mast Mein Rehne Ka
15864,Bachna Ae Haseeno
7913,Rang De Basanti
31977,Black
44977,Dhoom 3
17501,Don
132316,Jab Tak Hai Jaan
848116,Rocky Aur Rani Kii Prem Kahaani
664332,Gangubai Kathiawadi
251626,Hasee Toh Phasee
391629,Baaghi
24827,Ajab Prem Ki Ghazab Kahani
658412,Ludo
802403,Ajeeb Daastaans
61400,Thank You
363343,Raees
645484,Dil Bechara
339274,Tamasha
505175,Love per Square Foot
480,Monsoon Wedding
276928,Humpty Sharma Ki Dulhania
283589,Bang Bang!
222951,B.A. Pass
20294,Welcome
14752,Dil Chahta Hai
352205,Parched
20495,Mujhse Shaadi Karogi
67109,Delhi Belly
496328,Sanju
404604,Mom
441875,Toilet: A Love Story
599925,Shershaah
381070,Loev
11807,Jab We Met
491625,Gully Boy
27298,Partner
589615,Raat Akeli Hai
524288,Period. End of Sentence.
611359,Tu Jhoothi Main Makkaar
374173,Kapoor & Sons
84858,Agneepath
204435,Krrish 3
33124,1942: A Love Story
601643,Ghost Stories
669583,Did It Happen?
447856,Pad Man
215776,Madras Cafe
127501,Barfi!
496320,Race 3
44749,Race 2
491629,Raazi
14073,Jodhaa Akbar
464458,Ittefaq
206324,Bhaag Milkha Bhaag
8453,Fanaa
19672,Rock On!!
503838,Raid
22717,Wanted
888710,OMG 2
456570,Hindi Medium
70590,Singham
7509,Water
15977,Dev.D
498598,Sonu Ke Titu Ki Sweety
353464,Talvar
581361,Badla
14071,Dostana
79990,Desi Boyz
613446,The Sky Is Pink
28740,Black Friday
21210,Dil Se..
388333,M.S. Dhoni: The Untold Story
376873,Rocky Handsome
715765,Bachchhan Paandey
15084,Salaam Namaste
550485,Batla House
1029827,Drishyam 2
1136736,Lust Stories 2
58051,Housefull
45002,Chamatkar
413882,Ok Jaanu
645489,Gunjan Saxena: The Kargil Girl
32740,Krrish
493623,Hichki
498448,Kesari
441881,Tubelight
19625,Munna Bhai M.B.B.S.
10788,Kambakkht Ishq
376047,Fitoor
33081,Paheli
377213,Te3n
192558,Aashiqui 2
36204,No Smoking
250551,Gunday
467106,Bareilly Ki Barfi
65946,Ready
325138,Dum Laga Ke Haisha
503129,Student of the Year 2
14163,Chak De! India
